softwareName,version,releaseDate,eolDate
8.3 CE (Cortex XDR agent),-,2024-05-21,2026-05-21
8.3 (Cortex XDR agent),-,2024-02-11,2024-11-25
8.2 (Cortex XDR agent),-,2023-10-29,2024-08-12
8.1 (Cortex XDR agent),-,2023-06-25,2024-04-09
8.0 (Cortex XDR agent),-,2023-03-05,2023-12-19
7.9.103 CE (Cortex XDR agent),-,2024-11-11,"December 31, 2026**"
7.9 CE (Cortex XDR agent),-,2023-03-19,2025-03-19
7.9 (Cortex XDR agent),-,2022-12-04,2023-09-11
7.8 (Cortex XDR agent),-,2022-07-24,2023-04-24
7.7 (Cortex XDR agent),-,2022-03-27,2022-12-27
7.6 (Cortex XDR agent),-,2021-12-05,2022-09-05
7.5 CE (Cortex XDR Agent),-,2022-03-06,2024-03-06
7.5 (Cortex XDR agent),-,2021-08-22,2022-08-22
7.4 (Cortex XDR agent),-,2021-05-24,2022-05-24
7.3 (Cortex XDR agent),-,2021-02-01,2022-02-01
7.2 (Cortex XDR agent),-,2020-09-07,2022-03-07
7.1 (Cortex XDR agent),-,2020-04-22,2021-06-04
7.0 (Cortex XDR agent),-,2019-12-04,2021-06-04
6.1,-,2019-07-02,2022-07-01
6.0,-,2019-02-26,2020-02-26
5.0,-,2018-03-19,2024-06-01
4.2,-,2018-06-25,"March 1, 2022*"
4.1,-,2017-09-15,2019-09-15
4.0,-,2017-04-05,2018-04-05
3.4,-,2016-08-21,2019-08-21
3.3,-,2015-11-10,2017-02-28
3.2,-,2015-03-31,2016-03-31
3.1,-,"September 3rd, 2014",2015-09-03
Cortex XSOAR,-,-,-
8.8,-,-,2026-01-06
8.7,-,-,"Sept 17, 2025"
8.6,-,-,2025-07-14
8.5,-,-,2025-04-01
6.14,-,-,2026-06-30
6.13,-,-,2026-06-30
6.11,-,-,2024-05-31
6.10,-,-,2024-01-31
6.9,-,-,2023-11-01
6.8,-,-,2023-07-01
6.6,-,-,2023-05-01
6.5,-,-,2023-02-01
6.2,-,-,2022-05-01
6.1,-,-,2022-02-08
6.0,-,-,2021-06-08
5.5,-,-,2021-10-01
GlobalProtect™,-,-,-
6.3,-,2024-06-13,2026-06-13
6.2,-,2023-05-23,2026-12-31
6.1,-,2022-09-01,2025-03-01
6.0,-,2022-02-22,2025-12-31
5.3,-,2021-06-01,2022-12-01
5.2,-,2020-07-30,2023-08-31
5.1,-,2019-12-12,2021-03-12
5.0,-,2019-02-12,2020-05-12
4.1,-,2018-03-01,2019-06-01
4.0,-,2017-01-30,2018-05-02
3.1,-,2016-06-23,2017-09-23
3.0,-,2016-02-16,2017-05-18
Prisma Cloud Compute Edition,-,-,-
22.12,-,2022-12-04,2023-12-03
22.06,-,2022-06-09,2023-08-20
22.01,-,2022-01-10,2023-04-23
21.08,-,2021-09-08,2022-12-04
21.04,-,2021-04-26,2022-06-09
20.12,-,2020-12-21,2021-09-08
20.09,-,2020-09-22,2021-04-26
20.04,-,2020-04-07,2020-12-21
19.11,-,2019-11-20,2020-09-22
LightCyber Magna Virtual Appliances,-,-,-
"LightCyber Magna Detector Virtual Appliance
(D-150V)",-,2017-12-31,2020-12-31
"LightCyber Magna Probe Virtual Appliance
(P-50TV)",-,2017-12-31,2020-12-31
